covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age_at_entry_years,0.009188063046091348,1.0092304028716748,0.019075750507067463,-0.028199720925832554,0.04657584701801525,0.9721941798886009,1.0476775392722812,0.0,0.4816619426159521,0.6300461154897453,0.6664706660311733
total_placements,0.028646404299923448,1.0290606587118238,0.06379021951563435,-0.09638012851662396,0.15367293711647084,0.9081187486170313,1.166109433288439,0.0,0.44907204454599026,0.6533796861241075,0.6140064934685742
has_indicated_finding,-0.009444647807638398,0.9905998127967877,0.19200149435906036,-0.38576066172926704,0.3668713661139903,0.6799332402535683,1.4432122611729912,0.0,-0.04919049114261602,0.9607674890633414,0.05774076166297951
race_cat_Black,0.4622553419629175,1.5876506453051717,0.47483114936282605,-0.4683966095259806,1.3929072934518156,0.6260051947924463,4.02653938418778,0.0,0.9735152013157015,0.3302973088181116,1.5981628799432508
race_cat_Hispanic,0.6646627979398,1.9438349456639423,0.48006814168333717,-0.27625346988461275,1.6055790657642128,0.7586206189088998,4.980742945556676,0.0,1.3845176137062336,0.1662000185911719,2.5890075513989004
race_cat_Other,-15.409431090183741,2.0312767998365885e-07,2109.73524795781,-4150.414534002171,4119.595671821804,0.0,inf,0.0,-0.007303964374250193,0.9941723314088202,0.0084321423760464
race_cat_White,0.4445285015954306,1.5597546006245966,0.4805607935061225,-0.49735334605855935,1.3864103492494206,0.6081380626551416,4.000463979425653,0.0,0.9250203254247938,0.35495533491462283,1.4942905974565868
gender_cat_Male,0.13014890015542183,1.1389979676731523,0.1851962264994076,-0.23282903385613943,0.4931268341669831,0.7922890165438804,1.6374281900596313,0.0,0.7027621599829851,0.4822039825686465,1.0522845285418851
county_cat_DuPage,-0.08193966956982579,0.9213275411065628,0.23500197325476224,-0.5425350734450047,0.3786557343053532,0.5812728137171236,1.460320211043889,0.0,-0.3486765172009691,0.7273321757292459,0.45931369521592186
county_cat_Kane,-0.6582144506938687,0.517775022433148,0.43685417732845805,-1.5144329047535208,0.19800400336578328,0.21993287237603681,1.2189672737837496,0.0,-1.5067143336458846,0.13188389589935326,2.9226596843886665
county_cat_Lake,-0.35962429832307485,0.6979384934819711,0.2776972472177173,-0.9039009014757166,0.18465230482956685,0.4049867609283431,1.202800159608359,0.0,-1.2950229140770917,0.1953123249783184,2.3561451030407645
county_cat_Will,-0.7612178116554871,0.46709724403339264,0.34511545626177675,-1.4376316764366779,-0.08480394687429638,0.23748954525942167,0.9186923792593145,0.0,-2.2056902924628465,0.027405692080184854,5.189380622026925
